2023-08-11 19:40:12.257 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.9.1"}, "os": {"type": "Windows", "name": "Windows Server 2019", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.7+8-LTS-224"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='pratyush_motha', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@457449a5, com.mongodb.Jep395RecordCodecProvider@6db447f6]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.irga57n.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-8y1bff-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-08-11 19:40:12.344 [cluster-ClusterId{value='64d68e9cea801069d3da2a95', description='null'}-srv-cluster0.irga57n.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-dr6gfor-shard-00-00.irga57n.mongodb.net:27017 to client view of cluster
2023-08-11 19:40:12.392 [cluster-ClusterId{value='64d68e9cea801069d3da2a95', description='null'}-srv-cluster0.irga57n.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-dr6gfor-shard-00-01.irga57n.mongodb.net:27017 to client view of cluster
2023-08-11 19:40:12.395 [cluster-ClusterId{value='64d68e9cea801069d3da2a95', description='null'}-srv-cluster0.irga57n.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-dr6gfor-shard-00-02.irga57n.mongodb.net:27017 to client view of cluster
2023-08-11 19:40:13.295 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-08-11 19:40:14.354 [cluster-ClusterId{value='64d68e9cea801069d3da2a95', description='null'}-ac-dr6gfor-shard-00-02.irga57n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-dr6gfor-shard-00-02.irga57n.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=764339400, setName='atlas-8y1bff-shard-0', canonicalAddress=ac-dr6gfor-shard-00-02.irga57n.mongodb.net:27017, hosts=[ac-dr6gfor-shard-00-00.irga57n.mongodb.net:27017, ac-dr6gfor-shard-00-01.irga57n.mongodb.net:27017, ac-dr6gfor-shard-00-02.irga57n.mongodb.net:27017], passives=[], arbiters=[], primary='ac-dr6gfor-shard-00-01.irga57n.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=64d6593033f92e3ef153d18c, counter=3}, lastWriteDate=Fri Aug 11 19:40:14 UTC 2023, lastUpdateTimeNanos=16127888333800}
2023-08-11 19:40:14.372 [cluster-ClusterId{value='64d68e9cea801069d3da2a95', description='null'}-ac-dr6gfor-shard-00-01.irga57n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-dr6gfor-shard-00-01.irga57n.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=793812100, setName='atlas-8y1bff-shard-0', canonicalAddress=ac-dr6gfor-shard-00-01.irga57n.mongodb.net:27017, hosts=[ac-dr6gfor-shard-00-00.irga57n.mongodb.net:27017, ac-dr6gfor-shard-00-01.irga57n.mongodb.net:27017, ac-dr6gfor-shard-00-02.irga57n.mongodb.net:27017], passives=[], arbiters=[], primary='ac-dr6gfor-shard-00-01.irga57n.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000b3, setVersion=7, topologyVersion=TopologyVersion{processId=64d65814fafee274e51c4bcf, counter=6}, lastWriteDate=Fri Aug 11 19:40:14 UTC 2023, lastUpdateTimeNanos=16127908004300}
2023-08-11 19:40:14.374 [cluster-ClusterId{value='64d68e9cea801069d3da2a95', description='null'}-ac-dr6gfor-shard-00-01.irga57n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-dr6gfor-shard-00-01.irga57n.mongodb.net:27017 with max election id 7fffffff00000000000000b3 and max set version 7
2023-08-11 19:40:14.450 [cluster-ClusterId{value='64d68e9cea801069d3da2a95', description='null'}-ac-dr6gfor-shard-00-00.irga57n.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-dr6gfor-shard-00-00.irga57n.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=853192800, setName='atlas-8y1bff-shard-0', canonicalAddress=ac-dr6gfor-shard-00-00.irga57n.mongodb.net:27017, hosts=[ac-dr6gfor-shard-00-00.irga57n.mongodb.net:27017, ac-dr6gfor-shard-00-01.irga57n.mongodb.net:27017, ac-dr6gfor-shard-00-02.irga57n.mongodb.net:27017], passives=[], arbiters=[], primary='ac-dr6gfor-shard-00-01.irga57n.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=64d657048add50a13cb521a4, counter=4}, lastWriteDate=Fri Aug 11 19:40:14 UTC 2023, lastUpdateTimeNanos=16127986146500}
2023-08-11 19:40:17.104 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
